"Latest: Time (s)","Latest: Temperature (°C)"
0,84.9565497169
2,84.6540932938
4,84.3456810624
6,84.0653199326
8,83.8039633008
10,83.4862051873
12,83.2704246285
14,82.9820114427
16,82.7529584603
18,82.5051251431
20,82.2952140751
22,82.0425476795
24,81.8432876412
26,81.6056372847
28,81.4087978964
30,81.2247533142
32,81.0377663093
34,80.8401581001
36,80.6205851797
38,80.4443619045
40,80.3032428207
42,80.1096323612
44,79.9396619036
46,79.8192810586
48,79.639461616
50,79.4642542263
52,79.338037307
54,79.1569098423
56,78.9913650074
58,78.874103984
60,78.7025632986
62,78.5535825606
64,78.4413440108
66,78.4811308109
68,78.9913650074
70,79.2676962467
72,79.3491563399
74,79.4048029864
76,79.4048029864
78,79.4048029864
80,79.3862445612
82,79.3491563399
84,79.3454496147
86,79.3454496147
88,79.2972968199
90,79.2861937588
92,79.2529050617
94,79.223340868
96,79.1827296047
98,79.1679731936
100,79.1274241356
102,79.1090077885
104,79.1090077885
106,79.0722032453
108,79.0354361665
110,78.9950355515
112,78.987694836
114,78.9400164961
116,78.9290227284
118,78.8777626394
120,78.874103984
122,78.8448480593
124,78.8192685254
126,78.775459938
128,78.7353486147
130,78.7025632986
132,78.6952817043
134,78.647987013
136,78.6189132675
138,78.5753463713
140,78.5282079639
142,78.4775120236
144,78.4702755329
146,78.4232735297
148,78.4088236279
150,78.3546877306
152,78.307835236
154,78.2538497558
156,78.2143113911
158,78.1819938283
160,78.1497050121
162,78.0708974628
164,78.024409613
166,77.9815504818
168,77.9565726448
170,77.8995448152
172,77.8426062906
174,77.785756762
176,77.7289959218
178,77.6263419606
180,77.5627709518
182,77.5028333488
184,77.4043269514
186,77.2885706906
188,77.2011203705
190,77.0094636146
192,76.8914855945
194,76.7807939529
196,76.6704360002
198,76.5638428325
200,76.4438670373
202,76.3140503016
204,76.2288942014
206,76.1066151186
208,75.9746034084
210,75.856533229
212,75.7489136062
214,75.6014478307
216,75.5145852633
218,75.3780235724
220,75.2717884557
222,75.1559422098
224,75.0075278962
226,74.9056317638
228,74.7516762614
230,74.6504796148
232,74.5008231176
234,74.387356264
236,74.2774616449
238,74.1292949394
240,74.0201576836
242,73.8730076264
244,73.7264349751
246,73.6184667544
248,73.4950031709
250,73.3656453581
252,73.2430104196
254,73.1082603213
256,72.9677583221
258,72.8712724634
260,72.7223611101
262,72.5863739379
264,72.4754750938
266,72.3281146354
268,72.2088056902
270,72.0868269286
272,71.9409688156
274,71.8077563949
276,71.6991108823
278,71.5547314443
280,71.4138885687
282,71.285486676
284,71.1515737113
286,70.9914953025
288,70.88809747
290,70.7526263682
292,70.5181582968
294,70.3781613932
296,70.2415729626
298,70.0910160276
300,69.9410444095
302,69.8260765486
304,69.6885647012
306,69.5315969725
308,69.4178363707
310,69.2817621095
312,69.1461624107
314,68.999793704
316,68.8623703627
318,68.7449626856
320,68.5973067815
322,68.4585173884
324,68.3478385399
326,68.2154344917
328,68.0615246036
330,67.9328130088
332,67.7990701821
334,67.6929446548
336,67.5627184834
338,67.4167242388
340,67.3035436667
342,67.1719061387
344,67.040702986
346,66.8912839326
348,66.755691168
350,66.6496650258
352,66.5016989235
354,66.3779334879
356,66.2755235465
358,66.1419954933
360,66.0115143855
362,65.8736640719
364,65.7492234355
366,65.6251646385
368,65.5014847698
370,65.3602303896
372,65.2271309891
374,65.1046552244
376,64.9165563696
378,64.7874230745
380,64.6889483435
382,64.5328842114
384,64.4099615782
386,64.3048909969
388,64.1826464935
390,64.0533126421
392,63.9342858147
394,63.8156003296
396,63.7021780665
398,63.5816985541
400,63.4640152779
402,63.3222567842
404,63.217469956
406,63.1153730155
408,62.996573783
410,62.8684544435
412,62.7672027462
414,62.6541854558
416,62.5342861279
418,62.4242787496
420,62.3145568622
422,62.2027425689
424,62.0841138589
426,61.9729040402
428,61.8666981477
430,61.7490010565
432,61.631627414
434,61.5122370772
436,61.3861851588
438,61.2744487554
440,61.1490911519
442,61.0402795438
444,60.9017682581
446,60.7820826907
448,60.6741888448
450,60.5619883571
452,60.4204336283
454,60.3088838489
456,60.1976180693
458,60.093421179
460,59.9759306686
462,59.8587534207
464,59.7329102539
466,59.627568192
468,59.5224765365
470,59.4154056386
472,59.2974808554
474,59.1865170312
476,59.0802511456
478,58.9830625036
480,58.8596725553
482,58.7453996029
484,58.6401743667
486,58.5351946496
488,58.4282794261
490,58.3172684365
492,58.1891826934
494,58.0852434902
496,57.970752673
498,57.8694632587
500,57.7490706846
502,57.6397024361
504,57.5284576873
506,57.4174816387
508,57.3174059923
510,57.2005711495
512,57.0946132278
514,56.980450131
516,56.8665669596
518,56.7676727064
520,56.6605985713
522,56.5600464689
524,56.4283984702
526,56.3283423608
528,56.2284984931
530,56.1247187132
532,55.9963473577
534,55.895138018
536,55.7838503836
538,55.6338181743
540,55.5067626378
542,55.4086280419
544,55.2801300172
546,55.1844893606
548,55.0768662097
550,54.9532937716
552,54.8280174011
554,54.7292365114
556,54.6005172756
558,54.4761429081
560,54.3640753597
562,54.2482741255
564,54.1367236243
566,54.001607041
568,53.9024910936
570,53.7739351407
572,53.6595029526
574,53.5512311471
576,53.4314207886
578,53.3060243396
580,53.1985104025
582,53.0892760736
584,52.9627806354
586,52.8443550526
588,52.7281384763
590,52.6179767255
592,52.5041982162
594,52.3964372765
596,52.262051704
598,52.1605341638
600,52.0210321556
602,51.9199833953
604,51.7127776275
606,51.5933882685
608,51.4723799973
610,51.3497636132
