"Latest: Time (s)","Latest: Temperature (°C)"
0,85.4767699141
2,85.1654610778
4,84.7229974886
6,84.409711463
8,84.0737830809
10,83.7577948541
12,83.4113629604
14,83.1135662536
16,82.8141670602
18,82.5010766764
20,82.2107923918
22,81.9029486809
24,81.5977428226
26,81.2912132023
28,81.0377663093
30,80.7321294868
32,80.4290789959
34,80.1550939389
36,79.8831832095
38,79.6319885964
40,79.3454496147
42,79.0942814701
44,78.8192685254
46,78.5282079639
48,78.268238031
50,78.01369009
52,77.7715582494
54,77.5028333488
56,77.2430703786
58,76.8914855945
60,76.6394576416
62,76.3994043554
64,76.1337531143
66,75.8700078161
68,75.6349110367
70,75.3813483454
72,75.1625522321
74,74.9089143668
76,74.689619796
78,74.4391838802
80,74.1904228301
82,73.9689092403
84,73.723254987
86,73.5139710943
88,73.2712752348
90,73.048873196
92,72.8246743951
94,72.5771199131
96,72.3373078523
98,72.1355713008
100,71.9167135744
102,71.6991108823
104,71.4707623543
106,71.2646248912
108,71.0270104062
110,70.802635997
112,70.5210803278
114,70.2909213666
116,70.0881264555
118,69.8720226678
120,69.654262925
122,69.4462452754
124,69.2167282798
126,69.0138437537
128,68.7980319851
130,68.5973067815
132,68.3893065282
134,68.2071740337
136,68.0012242761
138,67.7827246095
140,67.6060795968
142,67.4167242388
144,67.2282688281
146,67.0567454581
148,66.8912839326
150,66.7318107528
152,66.5756136137
154,66.4173916094
156,66.2702787877
158,66.0975844612
160,65.9568380808
162,65.7647575731
164,65.6174235753
166,65.4295120241
168,65.2757129655
170,65.0944655125
172,64.8684002042
174,64.6914703811
176,64.5303719061
178,64.3598945089
180,64.1776646131
182,64.0135989508
184,63.8180694792
186,63.65787968
188,63.481156715
190,63.3076195719
192,63.1396592197
194,62.9675313529
196,62.8057460718
198,62.622978819
200,62.4601192572
202,62.2788393866
204,62.1172965036
206,61.9516416648
208,61.7842761142
210,61.6152207811
212,61.4468306013
214,61.2977032387
216,61.1351850165
218,60.968659974
220,60.7981749679
222,60.6489757616
224,60.4865874709
226,60.3111575295
228,60.1636135902
230,60.0030159753
232,59.8430033593
234,59.6947787959
236,59.5358786067
238,59.3819989195
240,59.2353070366
242,59.0669856901
244,58.9279356726
246,58.7673525804
248,58.6117181848
250,58.4566200137
252,58.3150944717
254,58.1545098508
256,58.0139229255
258,57.8673106065
260,57.704005063
262,57.5712122275
264,57.4089560954
266,57.2706365822
268,57.1179031741
270,56.9783386457
272,56.8328772604
274,56.6962626799
276,56.5600464689
278,56.4263117941
280,56.2929567869
282,56.1620531657
284,56.0170288889
286,55.8848226568
288,55.7077476753
290,55.5641007736
292,55.4392735378
294,55.2862411917
296,55.1682289778
298,55.0201052791
300,54.8926358159
302,54.7453503235
304,54.6025259067
306,54.4741394558
308,54.326110453
310,54.1904754255
312,54.0671322594
314,53.9341866702
316,53.8075254211
318,53.6752711198
320,53.5472983984
322,53.4196515885
324,53.2903717082
326,53.1594710763
328,53.0269620132
330,52.9064456106
332,52.7745933888
334,52.658535085
336,52.5292464318
338,52.4137408131
340,52.2908192279
342,52.1758448409
344,52.0496664434
346,51.9295079468
348,51.7754232601
350,51.6180020133
352,51.4988268842
354,51.3799198036
356,51.2650410093
358,51.1485325421
360,51.0360239981
362,50.9256205968
364,50.8079821301
366,50.7054913779
368,50.5790434782
370,50.4806924619
372,50.3529162333
374,50.2531255559
376,50.1406172016
378,50.0356941459
380,49.9199582974
382,49.8136214044
384,49.6983477884
386,49.5851362625
388,49.4648720845
390,49.3666654719
392,49.2577475242
394,49.1381797862
396,49.0278939525
398,48.9232298602
400,48.8097599112
402,48.7036977321
404,48.597830779
406,48.4939471211
408,48.3973950843
410,48.2938694323
412,48.1923074872
414,48.0873673207
416,47.9418289133
418,47.8461823109
420,47.7489230506
422,47.6377122662
424,47.5478361725
426,47.4440300097
428,47.3421578951
430,47.2562275372
432,47.1476740416
434,47.0637658104
436,46.9642747388
438,46.866686644
440,46.7640383413
442,46.6685031798
444,46.5696496662
446,46.4744138789
448,46.3879622044
450,46.2947286497
452,46.1947431827
454,46.1103964122
456,46.008985358
458,45.9317469534
460,45.8306208064
462,45.7535983349
464,45.6578773964
466,45.5554772597
468,45.4583474764
470,45.354562672
472,45.2526405794
474,45.1593515382
476,45.074658371
478,44.9816216231
480,44.8887157436
482,44.8077405067
484,44.7184446682
486,44.644402884
488,44.5620434311
490,44.4328247669
492,44.3540723181
494,44.2720659011
496,44.1918287265
498,44.1033427982
500,44.028302732
502,43.9383624678
504,43.8502014211
506,43.7704539991
508,43.6957736328
510,43.6211729811
512,43.5383763217
514,43.4672490068
516,43.4044518778
518,43.3268586503
520,43.2658341489
522,43.1966263131
524,43.1340673419
526,43.0748512179
528,43.004184638
530,42.9549233114
532,42.8860137127
534,42.8302776126
536,42.7794965589
538,42.7287508037
540,42.6764049682
542,42.6224624073
544,42.5832562862
546,42.5391743076
548,42.4885940767
550,42.4576103597
552,42.4119737136
554,42.3793932536
556,42.3517110652
558,42.320784302
560,42.2833637626
562,42.2654735968
564,42.2410847989
566,42.2037040343
568,42.1825840004
570,42.1663418546
572,42.1501032117
574,42.1403617055
576,42.1257518057
578,42.1111447343
580,42.0932954834
582,42.0819390638
584,42.0722063472
586,42.0624748823
588,42.0511230875
590,42.0462585535
592,42.0413943317
594,42.0316668246
596,42.023561522
598,42.0105948389
600,42.0057329038
602,42.004112328
604,41.999250808
606,42.0008712801
608,42.0024917867
610,42.004112328
612,42.0089741592
614,42.0170779035
616,42.0251825132
618,42.0316668246
620,42.0365304221
622,42.0413943317
624,42.0446371115
626,42.0462585535
628,42.0511230875
630,42.057609619
632,42.0640967062
634,42.0657185649
636,42.0722063472
638,42.0705843495
640,42.0722063472
642,42.0657185649
644,42.0689623865
646,42.0689623865
648,42.0673404583
650,42.0705843495
652,42.0657185649
654,42.0592313387
656,42.0511230875
658,42.0446371115
660,42.0397729938
662,42.0332879891
664,42.0186987561
666,42.0024917867
668,41.9911489661
670,41.9781878155
672,41.9619894836
674,41.9474139325
676,41.9376984481
678,41.9198899431
680,41.9053224407
682,41.8778136294
684,41.8632541491
686,41.8438458181
688,41.8244424053
690,41.7953464911
692,41.772723958
694,41.756569082
